Delay_95	Impact_95	Delay_90	Impact_90	Delay_85	Impact_85	Delay_80	Impact_80	Delay_75	Impact_75	Delay_70	Impact_70
4.4	0.137	3.7	0.137	2.9	0.137	2.1	0.137	1.3	0.137	0.4	0.137
4.4	0.138	3.7	0.138	2.9	0.138	2.1	0.138	1.3	0.138	0.4	0.138
4.4	0.139	3.7	0.139	2.9	0.139	2.1	0.139	1.3	0.139	0.4	0.139
4.4	0.14	3.6	0.14	2.9	0.14	2.1	0.14	1.3	0.14	0.4	0.14
4.3	0.141	3.6	0.141	2.9	0.141	2.1	0.141	1.3	0.141	0.4	0.141
4.3	0.142	3.6	0.142	2.8	0.142	2.1	0.142	1.3	0.142	0.4	0.142
4.3	0.143	3.6	0.143	2.8	0.143	2.1	0.143	1.3	0.143	0.4	0.143
4.2	0.144	3.5	0.144	2.8	0.144	2	0.144	1.2	0.144	0.4	0.144
4.2	0.145	3.5	0.145	2.8	0.145	2	0.145	1.2	0.145	0.4	0.145
4.2	0.146	3.5	0.146	2.8	0.146	2	0.146	1.2	0.146	0.4	0.146
4.2	0.147	3.5	0.147	2.8	0.147	2	0.147	1.2	0.147	0.4	0.147
4.1	0.148	3.5	0.148	2.7	0.148	2	0.148	1.2	0.148	0.4	0.148
4.1	0.149	3.4	0.149	2.7	0.149	2	0.149	1.2	0.149	0.4	0.149
4.1	0.15	3.4	0.15	2.7	0.15	2	0.15	1.2	0.15	0.4	0.15

